"id","name","name_short","enabled","latitude","longitude","geom"
"1","Arena","Arena",True,45.439222,10.994347,"0101000020E61000005DC0CB0C1BFD254084D72E6D38B84640"
"10","Museo della Radio d'Epoca","Museo Radio",True,45.440293,10.997242,"0101000020E61000003065E08096FE254030D461855BB84640"
"11","Museo di Castelvecchio","Castelvecchio",True,45.439926,10.987818,"0101000020E6100000DECCE847C3F925407E54C37E4FB84640"
"12","Museo di Storia Naturale","Museo Storia",True,45.438529,11.002368,"0101000020E6100000261DE560360126407EACE0B721B84640"
"13","Museo Lapidario Maffeiano","Museo Lapidario",True,45.438389,10.991369,"0101000020E61000005589B2B794FB25408CF678211DB84640"
"14","Teatro Romano e Museo Archeologico","Teatro Romano",True,45.447668,11.001748,"0101000020E6100000B4AA251DE50026409DBB5D2F4DB94640"
"15","Tomba di Giulietta Museo degli Affreschi â€œG.B.","Tomba Giulietta",True,45.433943,10.997661,"0101000020E610000044FD2E6CCDFE254000AAB8718BB74640"
"16","Torre dei Lamberti","Torre Lamberti",True,45.443227,10.997786,"0101000020E610000035D07CCEDDFE254023DA8EA9BBB84640"
"17","AMO - Arena Museo Opera","AMO",True,45.445538,10.998409,"0101000020E61000006B10E6762FFF25400890A16307B94640"
"18","Giardino Giusti","Giardino Giusti",True,45.443878,11.007248,"0101000020E61000003EEC8502B6032640FAB48AFED0B84640"
"2","Basilica di San Zeno","San Zeno",True,45.442789,10.979275,"0101000020E6100000AF94658863F52540A703594FADB84640"
"23","City Sightseeing","Sighseeing",True,45.443096,10.997454,"0101000020E61000005D876A4AB2FE2540847EA65EB7B84640"
"26","Verona Tour","Verona Tour",True,45.439356,10.991968,"0101000020E6100000685BCD3AE3FB254093A641D13CB84640"
"27","Palazzo della Ragione","Palazzo della Ragione",True,45.44472,10.998064,"0101000020E610000040A19E3E02FF254045F0BF95ECB84640"
"28","Museo Conte - Antica tipografia artistica Arche Sc","Museo Conte",True,45.444036,10.999053,"0101000020E6100000FEF0F3DF83FF2540921FF12BD6B84640"
"3","Casa di Giulietta","Casa Giulietta",True,45.442107,10.998438,"0101000020E6100000D42AFA4333FF2540952A51F696B84640"
"4","Centro Internaz. di Fotografia Scavi Scaligeri","Centro Fotografia",True,45.443231,10.998855,"0101000020E610000065E42CEC69FF254064C91CCBBBB84640"
"5","Chiesa di San Fermo Maggiore","San Fermo",True,45.439347,11.000013,"0101000020E6100000522635B401002640404CC2853CB84640"
"6","Chiesa di Santa Anastasia","Santa Anastasia",True,45.445534,11.000253,"0101000020E6100000A873452921002640C7A0134207B94640"
"7","Complesso del Duomo","Duomo",True,45.44764,10.997569,"0101000020E6100000C1012D5DC1FE2540D3307C444CB94640"
"8","Fondazione Museo Miniscalchi Erizzo","Museo Miniscalchi",True,45.445491,10.995389,"0101000020E6100000A69883A0A3FD2540C7D45DD905B94640"
"9","Museo Africano","Museo Africano",True,45.456838,11.008178,"0101000020E6100000E71725E82F042640F7C8E6AA79BA4640"
